ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
1, SciML: Integrating PubChem Closely into Catalyst and SciML ,The project will involve the creation of a new package that will provide an interface to query for chemical species and enzymes using the PubChem..., Lalit Chauhan ," Mentor  Chris Rackauckas, isaacsas, Torkel Loman, Anand Jain ", Organization  NumFOCUS ,/archive/2023/projects/aAJMK8lZ,https://medium.com/@Lalit.Chauhan/gsoc23-final-project-report-117b5308e047,No,No,"The project will involve the creation of a new package that will provide an interface to query for chemical species and enzymes using the PubChem API. This will then be integrated into the existing library Catalyst.jl to improve upon its functionalities.

This will prove in Improved accuracy in identifying chemical species and enzymes in reaction networks. By accessing the vast amount of data in the PubChem database, Catalyst.jl will be able to provide more accurate identification of chemical species and enzymes in reaction networks, reducing ambiguity and improving the quality of results.",[],[],"julia, PubChem API, Catalyst.jl","api, interface"
2, Image feature and classification database ,The Active Segmentation platform for ImageJ (ASP/IJ) was developed in the scope of GSOC 2016 - 2021. The plugin provides a general-purpose..., Aaryan Gautam , Mentor  DimiterP , Organization  INCF ,/archive/2023/projects/IuOyLNbG,https://docs.google.com/document/d/1YUuhjBycdRBWdMOlEAMiEVBDS__dxhag_pi6UprBzTg/edit#heading=h.xa6g1iidtl1w,Yes,Yes,"The Active Segmentation platform for ImageJ (ASP/IJ) was developed in the scope of GSOC 2016 - 2021. The plugin provides a general-purpose environment that allows biologists and other domain experts to use transparently state-of-the-art techniques in machine learning to achieve excellent image segmentation and classification. ImageJ is a public-domain Java image processing program extensively used in life and material sciences. The program was designed with an open architecture that provides extensibility via plugins computing different filters and region descriptors (i.e. image features).


The feature space and the classification results produced by the platform are stored in several separate files. The idea is that the types and values of image features and classification outcomes would be stored in an SQLite database for cross-comparisons between sessions. The candidate is required to use the SQLite database engine in order to integrate it with the GUI of ASP/IJ.",[],[],"java, sql","machine learning, database"
3, Creating a reproducible VRS mapping and validation library for MaveDB ,"The aim of this project is to make it easier to use MaveDB datasets for clinical use, as most of the MaveDB datasets are not annotated in a way that...", Samriddhi Singh ," Mentor  Alan Rubin, Alex H. Wagner, PhD ", Organization  Global Alliance for Genomics and Health ,/archive/2023/projects/DM4cjHXv,https://docs.google.com/document/d/1EUEP5cK7HewCuROnYepY4AOAKoT59CJOZr9tJGWRM5Q/edit?usp=sharing,No,Yes,"The aim of this project is to make it easier to use MaveDB datasets for clinical use, as most of the MaveDB datasets are not annotated in a way that allows them to be combined with other genomic data. Datasets in MaveDB will be mapped to the human genome using the GA4GH Variant Representation Specification (VRS). This can be achieved by mapping sequences using alignment algorithms, transforming the results into VRS objects, and validating the results.",[],[],"python, Relational Databases","bioinformatics, genetics"
4, FURY: SDF-based uncertainty representation for dMRI glyphs ,This project aims to implement a methodological approach to further improve the visualization of DTI tensors and HARDI ODFs glyphs by using..., Tania Castillo ," Mentor  Javier Guaje, Eleftherios Garyfallidis ", Organization  Python Software Foundation ,/archive/2023/projects/ymwnLwtT,https://gist.github.com/tvcastillod/4587f68cd6d6072e3932da799fc119ff,No,Yes,"This project aims to implement a methodological approach to further improve the visualization of DTI tensors and HARDI ODFs glyphs by using well-established techniques in the field of computer graphics such as billboarding, signed distance functions (SDFs), and ray marching. In addition, it is proposed to visualize the uncertainty associated with the DTI model.","['https://github.com/fury-gl/fury/pull/791', 'https://github.com/fury-gl/fury/pull/818', 'https://github.com/fury-gl/fury/pull/810']",[],"python, Vtk, GLSL, FURY","sdf, Computer Graphics and Visualization, dMRI glyphs, ray marching"
5, Scaled Botpress Connector ,The project's objective is to create a Rocket.Chat app that can create multiple bots with the ability to give all of the essential Botpress features..., Shubham Bhardwaj ," Mentor  Yash Rajpal, Duda  Nogueira ", Organization  rocket.chat ,/archive/2023/projects/6VbpCqlD,https://github.com/BotpressXRocketChat/Botpress-Super-Connector,No,No,"The project's objective is to create a Rocket.Chat app that can create multiple bots with the ability to give all of the essential Botpress features inside of all key chat spaces (Direct, Channel, and Omnichannel).",[],[],"javascript, mongodb, typescript, meteor.js, react.js, JEST, Botpress, Rocket.Chat Apps",web
6, Empowering Julia-based Data Science with MLflow ,MLFlowClient.jl lacks of updates regarding new features coming from the original Python package. Some effort is needed to ensure new version methods...., Jose Esparza , Mentor  Anthony Blaom , Organization  The Julia Language ,/archive/2023/projects/iRxuzeGJ,https://forem.julialang.org/pebeto/adding-mlflow-tracking-to-mlj-gsoc23-38e3,No,Yes,"MLFlowClient.jl lacks of updates regarding new features coming from the original Python package. Some effort is needed to ensure new version methods. My plan is to implement that novel features using pure Julia, increasing compatibility; and also new functionality to allow communication with MLJ.","['https://github.com/JuliaAI/MLJBase.jl/pull/912', 'https://github.com/JuliaAI/MLJBase.jl/pull/925']",['https://github.com/alan-turing-institute/MLJ.jl/issues/1029'],"julia, rest, MLJ, MLflow","machine learning, Experiment Tracking, ML Operations, ML Lifecycle"
7, GSoC Implement python client for RocketMQ 5.0 ,"RocketMQ 5.0 has released various language clients including Java, CPP, and Golang, to cover all major programming languages, a Python client needs...", Chaomei Yan ," Mentor  Aaron Ai, RongtongJin ", Organization  Apache Software Foundation ,/archive/2023/projects/XEJasFhe,https://github.com/yanchaomei/GSOC2023/blob/main/README.md,No,No,"RocketMQ 5.0 has released various language clients including Java, CPP, and Golang, to cover all major programming languages, a Python client needs to be implemented.

Referring to the API design of the Java client, the Python client is also composed of several main modules: Consumer, Producer, Message, Metrics, and Client. The general process for implementing a python client is as follows:

* Build a test environment
* Automatically generate protocol layer code through the grpc protoc tool
* Implementing Producer/SimpleConsumer
* Implementing PushConsumer
* Implement client metrics architecture based on OpenTelemetry/Open Focus","['https://github.com/apache/rocketmq-clients/pull/508', 'https://github.com/apache/rocketmq-clients/pull/513', 'https://github.com/apache/rocketmq-clients/pull/528', 'https://github.com/apache/rocketmq-clients/pull/530', 'https://github.com/apache/rocketmq-clients/pull/533', 'https://github.com/apache/rocketmq-clients/pull/546', 'https://github.com/apache/rocketmq-clients/pull/559', 'https://github.com/apache/rocketmq-clients/pull/588']",['https://github.com/apache/rocketmq-clients/issues/382'],"python, java, grpc","message queue, Client"
8, Adding new workers and resource management to new dataflow engine written in Python: Pydra ,"My proposal aims to extend Pydra's worker classes to handle a wider range of systems by utilizing PSI/J, which offers a unified API for various...", Aditya Agarwal ," Mentor  satra, DOROTA JARECKA, Ghislain Vaillant ", Organization  INCF ,/archive/2023/projects/d8SQBLVj,https://docs.google.com/document/d/e/2PACX-1vR7ONsUkzGpxXYwnXdT4aMur9lYefrLzVhoLnlN_pFMb7X9jCzxN5lsr9TSdJeigf7RuZQNX7_Z3SGt/pub,Yes,Yes,"My proposal aims to extend Pydra's worker classes to handle a wider range of systems by utilizing PSI/J, which offers a unified API for various schedulers. The objective of this project is to create a Pydra worker class capable of submitting and monitor jobs on different HPC systems, such as Theta, using PSI/J. Furthermore, I intend to use Bokeh to construct an interactive web-based dashboard that will monitor the jobs being submitted and executed by the Pydra worker. The expected outcome of this project is a Pydra worker that can use PSI/J to submit and track jobs on various HPC systems, an updated Dask worker, as well as a jobs monitoring dashboard.

The proposed methodology involves designing and implementing the Pydra worker class, evaluating its functionality and performance on various systems, comparing it to existing Pydra workers, and constructing a Pydra dashboard using Bokeh to monitor the jobs. Finally, I will document the usage and installation of the Pydra worker with PSI/J, as well as the Pydra dashboard, and provide users with examples and tutorials. The project timeline includes a community bonding phase from May 4 to 28, followed by an extended coding period from May 29 to September 17.","['https://www.google.com/url?q=https://github.com/nipype/pydra/pulls?q%3Dis%253Apr%2Bauthor%253Aadi611%2B&sa=D&source=editors&ust=1771102801117821&usg=AOvVaw221_AZE4SOwZd7eVCRjCTg', 'https://www.google.com/url?q=https://github.com/nipype/pydra-tutorial/pull/48&sa=D&source=editors&ust=1771102801117928&usg=AOvVaw2ywoQ0HCcWEX5Ockp2RV7x', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/686&sa=D&source=editors&ust=1771102801118126&usg=AOvVaw2y6eBA7mHPkuIBoT55gJQw', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/686&sa=D&source=editors&ust=1771102801118325&usg=AOvVaw0-WWEl_uC476rNpNTAK-oX', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/686&sa=D&source=editors&ust=1771102801118517&usg=AOvVaw2sFzq8MfOy2jVoSe3lci1s', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/697&sa=D&source=editors&ust=1771102801118571&usg=AOvVaw33Zbm4QaAzXB2uDacXQFqw', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/694&sa=D&source=editors&ust=1771102801119185&usg=AOvVaw0xUzWbOmNhkw4uf7VqitM7', 'https://www.google.com/url?q=https://github.com/nipype/pydra/pull/708&sa=D&source=editors&ust=1771102801119510&usg=AOvVaw2i_WC8krrLBHncZKtX8DxM', 'https://www.google.com/url?q=https://github.com/nipype/pydra-tutorial/pull/48&sa=D&source=editors&ust=1771102801119646&usg=AOvVaw0UrCNRUPf_dB27hK3ku9X7']",[],"python, docker, dask, Pytest, Bokeh, Pydra, PSI/J, Nipype","hpc, Schedulers"
9, Improving SLIPS Performance Data Gathering ,"SLIPS is a Machine Learning based intrusion detection system, which scans network traffic and processes the data using a variety of techniques, both...", Daniel Yang ," Mentor  Sebastian Garcia, Alya Gomaa, Veronica Valeros "," Organization  Stratosphere Laboratory, Czech Technical University in Prague ",/archive/2023/projects/pxeNagBx,https://docs.google.com/document/d/1eTPEl_uJKz9h9TFsc-cA48RMlz5za3Fq9vQ_Pyn7Jdw/edit?usp=sharing,No,Yes,"SLIPS is a Machine Learning based intrusion detection system, which scans network traffic and processes the data using a variety of techniques, both machine learning based as well as heuristic based. Despite having many different features and techniques to detect malicious behaviors on a target network, there will always be a problem of processing so much network traffic data quickly and efficiently, both in regards to the CPU and memory usage. However, there is currently no way to gather data about CPU and memory usage during execution time, which makes it difficult to make further performance improvements to the project. Therefore, this project seeks to remedy this by creating a set of tools to gather performance data about the IDS execution behavior.
To improve performance data gathering capabilities, the following features will be added to the project:
- CPU profiling module
- Memory profiling module
- Both modules will allow for: Export of profile data, output as both absolute and difference from input profile baseline (if provided), output as data stream
- CPU/Memory data visualization/analysis module which can: Show process resource usage over time, can restrict to top however many if desired, histogram of resource consumption and time spent at consumption level for a single module, and recommendation lists for modules needing optimization, scoring criteria based on highest memory/CPU usage, longest blocking time, and weighted aggregate score.",[],[],"python, redis","optimization, network security"
10, Pajamas Migration - GitLab Foundations Team ,I am writing to express my interest in contributing to GitLab's Pajamas Migration project as part of the Google Summer of Code program. As a computer..., Mughees Pervaiz , Mentor  James Rushford , Organization  GitLab ,/archive/2023/projects/femokhnv,https://gitlab.com/-/snippets/2587070,No,Yes,"I am writing to express my interest in contributing to GitLab's Pajamas Migration project as part of the Google Summer of Code program. As a computer science student at South Asia University, I am eager to gain more experience in the open-source community, and I believe that contributing to Pajamas Migration would be an excellent opportunity to do so. In Pajama Migration We have to ensure that all of the frontend components we use are GitLab-UI components, there are still some pages that are not using the right components.
I am already Involved with Gitlab through MLH Fellowship and am working with the Foundation Team under the mentorship of our maintainer (James Rushford). James was a really great leader and mentor.

I have worked on the following issue so far 112392, and 115432, and right now I am working on Pajamas Migration with our maintainer(James) on issues #395782 and #396775.
my Deliverables will include~ 
                           : Complete  Pajamas migrations.
 			   : Build out the design system.
                           : improve user experience
My plan~
         May 4 - May 30: read project-related documents and codes, and get started quickly.
         May 30 - July 5:  reasonably divide the work with another contributor, and record the corresponding documents at the same time.
	july 5 - august 21: will continue work on our plans and will try to complete our mission and also will get feedback from the mentor. 

my previous experience at MLH with Gitlab was incredible. I gained valuable technical and soft skills, and I had the opportunity to work on real-world projects with experienced developers. Working with Gitlab helped me gain a better understanding of DevOps.So, I am looking forward work with GitLab again.

I am looking forward to hearing back from you and learning more about how I can get involved in this project in your way. Maybe by giving more details? Knowing the Scope. Thank you for considering my application.",[],[],"javascript, ruby on rail, vue.js, react.js, HAML","devops, Pajamas Migration, Gitlab Ui Interface"
