ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,
1, PowerUp UI/UX & Graphics Update ,"A sleek, minimalist, and modern update for all the graphics in the game to bring it up to speed with other mobile games in the app store.", Kim Huynh ," Mentor  Dilushi Piumwardane, May Burgos "," Organization  Systers, an Anita Borg Institute community ",/archive/2017/projects/6427479493312512,https://systers-opensource.blogspot.com/2017/08/kim-huynh-powerup-final-report-gsoc-2017.html,Yes,Yes,"A sleek, minimalist, and modern update for all the graphics in the game to bring it up to speed with other mobile games in the app store.",,[],[]
2, Interconversion of the SBML and SBGN Modelling Languages using Semantics of Logic ,Systems biology researchers study the network of molecular interactions within a biological system and publish the deduced models in a diagram..., Haoran Yu ," Mentor  Nicolas Rodriguez, Sarah Keating ", Organization  National Resource for Network Biology (NRNB) ,/archive/2017/projects/6428665978028032,https://github.com/NRNB-GSoC2017-SBML2SBGNML-Converters/SBML2SBGNML/tree/GSoC_2017_final_submission,No,No,"Systems biology researchers study the network of molecular interactions within a biological system and publish the deduced models in a diagram format. Many XML variants were developed to represent diagrams, including SBML and SBGN. However, SBML can represent much more complex models than SBGN. For example, the SBML qual extension package can mechanistically describe events in its models, such as the relationship that A activates C, B activates C, but A and B cannot activate C at the same time. The SBGN Activity Flow language can describe a similar relationship, but the relationship is represented visually only, and therefore is not stored in its model. The incompatibilities between SBML and SBGN prevent direct comparison between the models.
In this project, I will build tools to support bidirectional conversion between SBML and SBGN, which acts as a machinery to map between SBGN-specific and SBML-specific information. SBML Layout package will be used to represent SBML diagrams, and the SBML qual package used to store the logic model.
Blog: http://haleyyew-gsoc.blogspot.ca/
Repository: https://github.com/NRNB-GSoC2017-SBML2SBGNML-Converters/SBML2SBGNML",,['https://github.com/github/site-policy/pull/582'],[]
3," Nmap Feature Creeping, Optimizing and developing NSE scripts (Vulnerability and Exploitation specialist) ","I will be working in several areas like adding new features, optimizing existing scripts and developing new scripts for Nmap.
In nutshell during this...", Rewanth Cool , Mentor  Daniel Miller , Organization  Nmap Security Scanner ,/archive/2017/projects/6429409410023424,https://medium.com/@rewanthcool/gsoc-2017-with-nmap-security-scanner-80d9bd54a97a,No,No,"I will be working in several areas like adding new features, optimizing existing scripts and developing new scripts for Nmap.
In nutshell during this whole period of 3 months my overall focus will be on developing NSE scripts for the latest vulnerabilities and optimize some of existing modules which consume lot of time for scanning. When it comes to writing new vulnerability scripts I will follow the CVE and CWE updates carefully and will craft them perfectly within no time. I will also add new features to Nmap which will be very helpful to both the basic and advanced Nmap users.",,[],[]
4, Javascript Visualizations for concepts in the book 'Artificial Intelligence: A Modern Approach' ,"This project aims to design and implement Javascript visualizations for the following chapters in the aima-javascript repository:

Chapter 4, Beyond...", Rishav Agarwal , Mentor  amitp , Organization  aimacode ,/archive/2017/projects/6430712798380032,https://gist.github.com/Rishav159/9b33681a3029c7c930a7c60d4a2aee1e,No,Yes,"This project aims to design and implement Javascript visualizations for the following chapters in the aima-javascript repository:

Chapter 4, Beyond Classical Search
Chapter 6, Constraint Satisfaction Problems
Chapter 18, Learning from examples

The visualizations will be accompanied by relevant context explaining them with complete relevance with the book.",,"['https://github.com/aimacode/aima-javascript/pull/79', 'https://github.com/aimacode/aima-javascript/pull/80', 'https://github.com/aimacode/aima-javascript/pull/82', 'https://github.com/aimacode/aima-javascript/pull/86', 'https://github.com/aimacode/aima-javascript/pull/87', 'https://github.com/aimacode/aima-javascript/pull/89', 'https://github.com/aimacode/aima-javascript/pull/90', 'https://github.com/aimacode/aima-javascript/pull/93', 'https://github.com/aimacode/aima-javascript/pull/94', 'https://github.com/aimacode/aima-javascript/pull/95', 'https://github.com/aimacode/aima-javascript/pull/96', 'https://github.com/aimacode/aima-javascript/pull/97']",[]
5, Enable automated testing on windows and other general sample platform improvements ,"The sample platform has been a good way to test regression tests, but still lacks windows support. It needs some improvements that are listed on...", Satyam Mittal , Mentor  Willem Van Iseghem , Organization  CCExtractor Development ,/archive/2017/projects/6430829030932480,https://www.ccextractor.org/public:gsoc:gsoc2017:google_summer_of_code_2017_satyam_mittal,No,No,"The sample platform has been a good way to test regression tests, but still lacks windows support. It needs some improvements that are listed on issue tracker.
The main aim of the project is to extend the support of sample platform to windows.
The focus of the project would be to add some add-on features to sample platform such as FTP upload support, improved error detection and github integration that helps user to have a single place to upload,view samples and associated test results.",,[],[]
6, InterMine Registry ,"The InterMine Registry will allow users to obtain and search, by consuming a RESTful API, basic information about existing InterMine instances. This...", Leonardo Kuffo , Mentor  Daniela Butano , Organization  Open Genome Informatics ,/archive/2017/projects/6434386606030848,https://github.com/intermine/intermine-registry,No,No,"The InterMine Registry will allow users to obtain and search, by consuming a RESTful API, basic information about existing InterMine instances. This information includes instances names, URLs, versions, sizes, descriptions and principal data-types with their fields brief descriptions. Furthermore, the API is going to give the possibility to create and administer the registry entries.",,"['https://github.com/intermine/intermine-registry/pull/156', 'https://github.com/intermine/intermine-registry/pull/152']",[]
7, Universal Space Operations Center ,"The Universal Space Operations Center, USOC, is an open-source tool that allows a simple and easy creation of a working groundstation to aid space...", Victor Hertel ," Mentor  Florian Grabi, Manfred Ehresmann ", Organization  AerospaceResearch.net ,/archive/2017/projects/6437495088611328,http://aerospaceresearch.net/?p=350,No,No,"The Universal Space Operations Center, USOC, is an open-source tool that allows a simple and easy creation of a working groundstation to aid space projects. The program structure is divided into three main components:

Communication software
Graphical user interface (GUI)
Controller for interaction between communication software and graphical user interface

Due to the fact that the functionality of every experiment should be checked before lift-off, a communication software for up- und downlink is required. Based on the input of the user in a configuration file, the GUI and partially also the controllers can be written automatically. In this matter, USOC generates appropriate functionalities within the controllers for individual GUI contents, which can then be adapted manually. Changes in the configuration file are detected, localized and the corresponding GUI structures and controller functionalities are regenerated. If these are manually written functionalities, they are recognized and not overwritten. USOC also brings pre-coded functions, such as communication via serial ports and/or the Iridium satellite network, as well as a three-dimensional visualization of GNSS data.",,[],[]
8, Cloud filesystem for Media Manager ,Joomla! is an Open Source CMS which allows the user to create websites with ease. It is rich in features that helps even a novice to set up a fully..., Kasun Vithanage ," Mentor  David Neukirchen, Allon Moritz ", Organization  Joomla ,/archive/2017/projects/6438237581082624,https://github.com/joomla-projects/media-manager-improvement/commits/gsoc17?author=kasvith,No,Yes,"Joomla! is an Open Source CMS which allows the user to create websites with ease. It is rich in features that helps even a novice to set up a fully functional and a secure CMS.
Joomla! 3 is the current stable version which is available to users. Joomla! 4 will be the next generation which is going to use more modern technologies.
Joomla! has a built in Media Manager to manage media files, such that even a novice can easily upload and use them in his articles etc. In Joomla! 4, the media manager will get rewritten from scratch with a JavaScript based (Vue.js) client and a REST like API as data endpoint. Through this endpoint it is possible to make GET, POST, PUT and DELETE requests to fetch and manipulate the media files. On the server side are the requests forwarded to an adapter, which processes the data.
The aim of this project is to add more cloud based file adapter’s through the Joomla plugin system for the media manager which allow the other developers to extend the capability of it. They can add a cloud file system to Joomla! which allows the users to interact with media files the same way as with local files.",,[],[]
9, libxcam Enable a debluring feature with OpenCL Design ,"Deblurring is a process that removes distortion from a blurry image using knowledge of the point spread function.
The blurring, or degradation, of an...", Andrey Parfenov , Mentor  Wind Yuan , Organization  Intel Media and Audio for Linux ,/archive/2017/projects/6440371911393280,https://andrey1994.github.io/GSoC_2017/,No,Yes,"Deblurring is a process that removes distortion from a blurry image using knowledge of the point spread function.
The blurring, or degradation, of an image can be caused by many factors:

Movement during the image capture process, by the camera or, when long exposure times are used, by the subject
Out-of-focus optics, use of a wide-angle lens, atmospheric turbulence, or a short exposure time, which reduces the number of photons captured
Scattered light distortion in confocal microscopy

In this project I will be focused on removing blurs from camera shaking. It's a blind deblurring problem and iterative method will be used to estimate point spread function and deblurred image alternately.
For removing ringing artifacts edgetaper function will be implemented using OpenCV, also will be implemented PSF order estimation algorithm.
The most time consuming operations, such as FFT2d, will be implemented using OpenCL to improve the algorithm's performance.",,[],[]
10, iOS: Implementation of missing Bricks and Sensors ,"Desired Outcome: Support of all Bricks and Sensors for Catrobat Language version 0.991 (except physics bricks)
New Bricks:

CameraBrick...", Pushkar Sharma , Mentor  michael , Organization  Catrobat ,/archive/2017/projects/6441041926291456,https://docs.google.com/spreadsheets/d/1ypN-WZUV_ioAhkncmYJ0OICuvJpzZa7s_4eyumu5Rok/,No,Yes,"Desired Outcome: Support of all Bricks and Sensors for Catrobat Language version 0.991 (except physics bricks)
New Bricks:

CameraBrick
ChooseCameraBrick
IfThenLogicBeginBrick
RepeatUntilBrick
WhenTouchDownBrick

New Sensors:

screen_touch_x
screen_touch_y
screen_touch_x(1)
screen_touch_y(1)
screen_is_touched(1)
last_screen_touch_index
color

Tasks:

Create data models for new Bricks
Implement serialization and deserialization
Implement Brick visualization and related UI actions
Implement new logic in Player Engine
*Write unit & integration tests",,[],[]
11, 3D OSM Plugin API ,The goal of this project is to create a plugin API to display OpenStreetMap (OSM) data on NASA Web WorldWind..., Candan Eylül Kilsedar ," Mentor  Patrick Hogan, Jakub Balhar ", Organization  OSGeo ,/archive/2017/projects/6446195887046656,https://lists.osgeo.org/pipermail/soc/2017-August/003844.html,Yes,No,"The goal of this project is to create a plugin API to display OpenStreetMap (OSM) data on NASA Web WorldWind (https://github.com/NASAWorldWind/WebWorldWind) virtual globe in three dimensions. The API fetches the OSM data in real time based on a bounding box, or uses a local file or the data itself in GeoJSON format. The project focuses on the performance of the visualization of 3D OSM buildings, and for this purpose creates triangle meshes based on the footprint available in OSM database. Height to the buildings can be assigned using the OSM database, a property in a GeoJSON file or an arbitrary value. The API can also create a heatmap based on the heights of the buildings. The API also offers caching and sectorizing (tiling) to improve the performance.",,[],[]
12, Sonic Anemometer using PRU and PRUDAQ ,Write program for PRU present in BeagleBoard and to create a portable device able to measure the wind speed and temperature reliably in outdoor..., Naveen Saini ," Mentor  Stephen Arnold, Hunyue Yau, ZeekHuge ", Organization  BeagleBoard.org Foundation ,/archive/2017/projects/6450379722063872,https://github.com/thetransformerr/beagle-sonic,No,No,"Write program for PRU present in BeagleBoard and to create a portable device able to measure the wind speed and temperature reliably in outdoor environments.It delivers the result by analyzing the time of flight or phase difference of sound waves between two points, deliver the final results in terms of ambient Temperature,Wind speed and direction.Considering the costs of commercial products available at this time in market, this open source project would provide a very useful and reliable anemometer to help universities and students/hobbyists during their meteorological research by providing them results in real time and format that can be further processed by user using languages like python etc.",,[],[]
13, SVG Digital Halftoning ,Digital halftoning refers to the process of converting a continuous-tone image or photograph into a pattern of black and white picture elements for..., Abhishek Sehgal , Mentor  Bart Massey , Organization  Portland State University ,/archive/2017/projects/6452015836168192,https://github.com/abhishek-sehgal954/Inkscape_extensions_for_halftone_filters,No,No,"Digital halftoning refers to the process of converting a continuous-tone image or photograph into a pattern of black and white picture elements for reproduction by a binary display device such as an ink jet printer, which can only choose to print or not print dots. The human visual, acting like a low-pass filter, blurs these printed and not printed dots together to create the illusion of continuous shades of gray. Typical halftoning algorithms produce bitmaps as output. However, there are cases when scalable halftone patterns would be useful.
Scalable Vector Graphics (SVG) is an XML-based vector image format for two-dimensional graphics with support for interactivity and animation and thus obvious choice for scalable graphics. The project aims to create SVG equivalents of standard halftone patterns. These would allow a lower resolution grayscale image to be approximated by an infinite resolution monochrome vector image.",,[],[]
14, Improvement of the background subtraction algorithm ,"I would like to work on improving background subtraction algorithm. In particular, I want to implement algorithm from the following article:...", Vladislav Samsonov , Mentor  Maksim Shabunin , Organization  OpenCV ,/archive/2017/projects/6453014550282240,https://github.com/opencv/opencv_contrib/pull/1211,No,Yes,"I would like to work on improving background subtraction algorithm. In particular, I want to implement algorithm from the following article:
Background Subtraction using Local SVD Binary Pattern, Guo et al. (2016)
It is based on LSBP feature descriptors and achieves state-of-the-art performance on the CDnet 2012 dataset.
LSBP descriptors are particularly good in regions with illumination variation, noise and shadows. So, this algorithm has better performance in this kind of regions.
In addition, this algorithm has another pleasant trait: after extraction of LSBP descriptors it processes frames pixel-wise (i.e. independently). This is the common trait among all the consensus-based background models. It means, that implementation can leverage the parallelism inside OpenCV. Furthermore, implementation could be fully parallelized and implemented on both CPU/GPU.
Thus, this algorithm will be fast enough for the realtime processing even on mobile devices.",https://github.com/opencv/opencv_contrib/pull/1211,"['/login?return_to=https%3A%2F%2Fgithub.com%2Fopencv%2Fopencv_contrib%2Fpull%2F1211', '/login?return_to=https%3A%2F%2Fgithub.com%2Fopencv%2Fopencv_contrib%2Fpull%2F1211', 'https://github.com/opencv/opencv_contrib/pull/1211#event-1367213744', 'https://github.com/opencv/opencv_contrib/pull/1211', '/login?return_to=https%3A%2F%2Fgithub.com%2Fopencv%2Fopencv_contrib%2Fpull%2F1211']",[]
15, iOS: Medialibrary port ,"Overview
The medialibrary(MediaLibraryKit) available for the Apple platform’s such as iOS, macOS, and tvOS is quite old and limited. 
However, the...", Soomin Lee ," Mentor  Felix Paul Kühne, jb ", Organization  VideoLAN ,/archive/2017/projects/6458593310146560,https://code.videolan.org/GSoC2017/Bubu/MediaLibraryKit,No,No,"Overview
The medialibrary(MediaLibraryKit) available for the Apple platform’s such as iOS, macOS, and tvOS is quite old and limited. 
However, the other platforms are using a medialibrary written in C++ which is newer, maintained and full of possibility.
Therefore, the overall goal will be to port the said media library to be Apple friendly.
Technology

C++
Objective-C",,[],[]
16, Online Validation Tools ,"Software Package Data Exchange (SPDX) is “a set of standards for communicating the components, licenses, and copyrights associated with software”....", Aleksandr Lisianoi , Mentor  Phil Ombredanne  SPDX , Organization  Software Product Data Exchange (SPDX) ,/archive/2017/projects/6460361226059776,http://all3fox.github.io/2017/08/23/gsoc17-at-spdx.html,No,Yes,"Software Package Data Exchange (SPDX) is “a set of standards for communicating the components, licenses, and copyrights associated with software”. You can find the latest (as well as the previous) standards at:
https://spdx.org/specifications
One idea is to accompany software with special files that hold certain meta information: authorship, copyrights, licenses, etc. These files currently come in two major formats: TAG and RDF. There are parsing tools available for these formats in Python and Go:
https://github.com/spdx/tools-python
https://github.com/spdx/tools-go
These tools do not support the latest SPDX-2.1 standard (instead, they can handle SPDX-1.2) which makes it logical to add support for the latest standard.
However, personally I am not happy with the specification which is why I would rather develop an online validation tool with the license-expression [pyLE] library which heavily relies on the boolean.py library [BP].",,[],[]
17, Data Visualization of Archived Content ,The purpose of this project is to develop a set of visually impactful and meaningful models that allow users to easily visualize the changes archived..., Harsh Baid ," Mentor  b5, Dawn, Matt Price ", Organization  Environmental Data And Governance Initiative ,/archive/2017/projects/6462216651931648,http://harshbaid.com/blog/2017/working-with-edgi/,No,No,The purpose of this project is to develop a set of visually impactful and meaningful models that allow users to easily visualize the changes archived by EDGI.,,[],[]
18, Import Some Synchronization Primitives from CoreRT into Mono ,"The goal is to replace Mono's BCL implementation of System.Threading.EventWaitHandle, System.Threading.Mutex and
System.Threading.Semaphore...", Alexander Efremov ," Mentor  Marek Safar, Ludovic Henry ", Organization  Mono Project ,/archive/2017/projects/6462738356240384,https://github.com/mono/mono/pull/5054#issue-236569175,No,No,"The goal is to replace Mono's BCL implementation of System.Threading.EventWaitHandle, System.Threading.Mutex and
System.Threading.Semaphore synchronization primitives by CoreRT ones. This would allow us to get closer to .NET Core code quality and behaviour.
System.Threading.EventWaitHandle – class allows threads to communicate with each other by signaling and by waiting for signals. Event wait handles are wait handles that can be signaled in order to release one or more waiting threads. After it is signaled, an event wait handle is reset either manually or automatically.
System.Threading.Mutex  – one of the synchronization primitive that is an implementation of synchronization mechanism for enforcing limits on access to a resource in an environment where there are many threads of execution.
System.Threading.Semaphore – one of the synchronization primitive used to control access to a common resource by multiple processes in a concurrent system such as a multiprogramming operating system.",https://github.com/mono/mono/pull/5054#issue-236569175,"['/login?return_to=https%3A%2F%2Fgithub.com%2Fmono%2Fmono%2Fpull%2F5054', '/login?return_to=https%3A%2F%2Fgithub.com%2Fmono%2Fmono%2Fpull%2F5054', '/login?return_to=https%3A%2F%2Fgithub.com%2Fmono%2Fmono%2Fpull%2F5054', 'https://github.com/mono/mono/pull/5054#issue-236569175']",[]
19, A code formatter for Elixir ,"By leaving tedious formatting to the machine, code formatters provide a substantial increase in engineering productivity and a consistent style...", alexjiao ," Mentor  whatyouhide, José Valim ", Organization  Beam Community ,/archive/2017/projects/6463694657552384,https://github.com/uohzxela/ex_format,No,No,"By leaving tedious formatting to the machine, code formatters provide a substantial increase in engineering productivity and a consistent style across teams. Hence, this project implements a code formatter that can take a piece of Elixir code and format it automatically according to a standard style guide. It is very similar to tools such as rustfmt and gofmt.",,[],[]
20, Develop an Android Science App for PSLab Experiments ,Create an Android App from scratch which would enable user to use PSLab directly from their mobile phone through an OTG cable and perform various..., Vivek Singh Bhadauria ," Mentor  Lorenz Gerber, Kiwi, Praveen Patil (Gnovi), Darin Lobo, vuhung, Darwin Gosal, Wan Leung Wong, Greg Austic, Mitch Altman, Shams Jaber, Mario Behling, Haggen So, Soong Chee Gi ", Organization  FOSSASIA ,/archive/2017/projects/6464072077803520,https://gist.github.com/viveksb007/b394b5815ebe4208435509ce40ec4521,No,Yes,Create an Android App from scratch which would enable user to use PSLab directly from their mobile phone through an OTG cable and perform various experiments and get output from App itself. Many PSLab experiments have been already implemented in Python. They can be ported to Android and can be performed directly from the phone.,,"['https://github.com/fossasia/pslab-android/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Aviveksb007', 'https://github.com/fossasia/pslab-desktop-apps/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Aviveksb007', 'https://github.com/fossasia/pslab.fossasia.org/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Aviveksb007']","['https://github.com/fossasia/pslab-android/issues?utf8=%E2%9C%93&q=assignee%3Aviveksb007%20is%3Aissue', 'https://github.com/fossasia/pslab-android/issues?utf8=%E2%9C%93&q=is%3Aissue%20author%3Aviveksb007']"
21, Project Proposal-Javascript/WebGL Library For Interactive Visualization Of Large-Scale Network Graphs. ,A brief description on the plan of action and my understanding of the visualization project., Venkata ," Mentor  Aleš Saska, Tomas Helikar ", Organization  Computational Biology @ University of Nebraska-Lincoln ,/archive/2017/projects/6465860126375936,https://vchilkuri.gitbooks.io/gsoc-documentation/content/,No,No,A brief description on the plan of action and my understanding of the visualization project.,,[],[]
22, Keeping PowerPointLabs Well-maintained and Updated ,"PowerPointLabs is used by people around the world, and is being developed and maintained by students
of National University of Singapore. These...", Ong Heng Le , Mentor  Ian Teo , Organization  TEAMMATES @ National University of Singapore ,/archive/2017/projects/6467332226416640,https://github.com/PowerPointLabs/PowerPointLabs/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Ainitialshl,No,No,"PowerPointLabs is used by people around the world, and is being developed and maintained by students
of National University of Singapore. These selected students take on the project as a school module or
internship project. While having a regular rotation of new developers provides creativity and multiple
perspectives which helps improve PowerPointLabs, it may introduce some deviations in the coding style,
technology used, and preferred workflow. These may accumulate and cause the project to become hard
to maintain and its public release to stagnate. This proposal offers my suggested approaches to make
PowerPointLabs more maintainable for its developers, while keeping it updated for its users.",https://github.com/PowerPointLabs/PowerPointLabs/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Ainitialshl,"['/login?return_to=https%3A%2F%2Fgithub.com%2FPowerPointLabs%2FPowerPointLabs%2Fpulls%3Futf8%3D%25E2%259C%2593%26q%3Dis%253Apr%2520author%253Ainitialshl', '/login?return_to=https%3A%2F%2Fgithub.com%2FPowerPointLabs%2FPowerPointLabs%2Fpulls%3Futf8%3D%25E2%259C%2593%26q%3Dis%253Apr%2520author%253Ainitialshl', 'https://github.com/PowerPointLabs/PowerPointLabs/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Ainitialshl']",[]
23, First Chatbot for DBpedia - Ram G Athreya ,"The requirement of the project is to build a conversational Chatbot for DBpedia which would be deployed in at least two social networks.
There are...", Ram G Athreya , Mentor  Ricardo Usbeck , Organization  DBpedia ,/archive/2017/projects/6469474609790976,https://github.com/dbpedia/chatbot/wiki/GSoC-2017:-Chatbot-for-DBpedia,Yes,Yes,"The requirement of the project is to build a conversational Chatbot for DBpedia which would be deployed in at least two social networks.
There are three main challenges in this task. First is understanding the query presented by the user, second is fetching relevant information based on the query through DBpedia and finally tailoring the responses based on the standards of each platform and developing subsequent user interactions with the Chatbot.
Based on my understanding, the process of understanding the query would be undertaken by one of the mentioned QA Systems (HAWK, QANARY, openQA). Based on the response from these systems we need to query the DBpedia dataset using SPARQL and present the data back to the user in a meaningful way. Ideally, both the presentation and interaction flow needs to be tailored for the individual social network.
I would like to stress that although the primary medium of interaction is text, platforms such as Facebook insist that a proper mix between chat and interactive elements such as images, buttons etc would lead to better user engagement. So I would like to incorporate these elements as part of my proposal.",,[],[]
25, Using Pseudo-random number repeatably in a fine-grain multithreaded simulation ,"Particle transport Monte Carlo simulations are a key tool for High Energy Physics experiments, including the LHC experiments at CERN. All Monte Carlo...", Dima Savin ," Mentor  Sandro Wenzel, John Apostolakis ", Organization  CERN-HSF ,/archive/2017/projects/6471566527299584,https://sd57.github.io/g4dprng/,No,No,"Particle transport Monte Carlo simulations are a key tool for High Energy Physics experiments, including the LHC experiments at CERN. All Monte Carlo (MC) simulations depend vitally on Pseudo-Random Number Generators (PRNGs) used to sample many distributions.
Each LHC experiments generates 5-10 Billion sampled physics events a year using around 10^18 sampled values from PRNGs. PRNGs take 1-5% of CPU time. PRNGs used must possess very large periods, fast execution, the ability to create a large number of streams, and very good correlation properties between streams and sampled values. It must be possible to reproduce a simulated event any time, for reexamination or debugging.
The transition from event-level parallelism in Geant4 to dynamical multithreading in GeantV requires associating the random generator states not with the threads but with the tracks, which are shuffled between ""baskets"" based on their type and energy. Maintaining reproducibility after such transition requires a drastic change in the way the random generators are used. We suggest solutions based on Scalable Pseudo Random Number Generators and on pedigrees introduced in CilkPlus, which are first tested in Geant4.",,[],[]
26, Native Julia Solvers for Ordinary Differential Equations Boundary Value Problem: A GSoC proposal ,"This is a proposal for the project ""Native Julia solvers for ordinary differential equations and algebraic differential equations"". There is no...", Yingbo Ma ," Mentor  Problematic Developer, Chris Rackauckas, Christoph Ortner ", Organization  The Julia Language ,/archive/2017/projects/6473487988293632,https://gist.github.com/YingboMa/65dbe1a43564ab367408588467ccb671,No,Yes,"This is a proposal for the project ""Native Julia solvers for ordinary differential equations and algebraic differential equations"". There is no solver for ordinary differential equation (ODE) boundary value problem (BVP) yet in the JuliaDiffEq organization. I am going to implement native Julia solvers for ODE BVP problem. There are a number for advantages of Julia native solvers over calling C or Fortran's existing libraries via Julia's FFI, including the ability to use a wide variety of types in Julia like BigFloat for arbitrary precision, easier for people to contribute and better integrate with other packages in Julia ecosystem. The goals for this project are to implement BVP related data structures, a shooting method and a collocation method. Together, this contribution will help make Julia a viable environment for researchers and scientists to simulate models from boundary value problems.",,"['https://github.com/SciML/OrdinaryDiffEq.jl/pull/69', 'https://github.com/SciML/OrdinaryDiffEq.jl/pull/73', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/88', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/95', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/95', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/150', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/154', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/156', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/158', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/162', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/168', 'https://github.com/JuliaDiffEq/OrdinaryDiffEq.jl/pull/167', 'https://github.com/JuliaDiffEq/DiffEqPhysics.jl/pull/16', 'https://github.com/JuliaDiffEq/DiffEqPhysics.jl/pull/15', 'https://github.com/JuliaDiffEq/DiffEqPhysics.jl/pull/14', 'https://github.com/JuliaDiffEq/DiffEqDiffTools.jl/pull/14', 'https://github.com/JuliaDiffEq/DiffEqDiffTools.jl/pull/15', 'https://github.com/JuliaDiffEq/Sundials.jl/pull/138']",[]
28, FHIR Module Enhancements  Project Proposal ,FHIR is a well known standard which rapidly gets popular among community. The purpose of this project is to expand the capabilities and functions of..., Kwateng Ofori , Mentor  Harsha Kumara , Organization  OpenMRS ,/archive/2017/projects/6477411709353984,https://talk.openmrs.org/t/gsoc-2017-fhir-module-enhancements-final-presentation/13080,No,No,FHIR is a well known standard which rapidly gets popular among community. The purpose of this project is to expand the capabilities and functions of the OpenMRS FHIR module. OpenMRS has recently undertaken a commitment to implement FHIR in order to ensure better interoperability between healthcare systems. The OpenMRS FHIR module was developed as part of these efforts. FHIR specification is continuously subjecting to several development iterations which improves the usability. This project aiming to upgrade the FHIR module to newest version of standard.,,"['https://github.com/openmrs/openmrs-module-fhir/pull/132', 'https://github.com/openmrs/openmrs-module-fhir/pull/134', 'https://github.com/openmrs/openmrs-module-fhir/pull/135']",[]
29, Python Bindings for CCextractor proposal by Diptanshu Jamgade ,"I have written this proposal for the Python Bindings Project. I have detailed out to maximum possibilities. However, in case of lack of clarity we...", Diptanshu Jamgade , Mentor  Carlos Fernandez Sanz , Organization  CCExtractor Development ,/archive/2017/projects/6478163597066240,https://www.ccextractor.org/public:gsoc:gsoc2017:python_extension_module_for_ccextractor_diptanshu_jamgade_gsoc_2017,No,No,"I have written this proposal for the Python Bindings Project. I have detailed out to maximum possibilities. However, in case of lack of clarity we may discuss it out either on the Slack Channel or via emails. Thank you.",,[],[]
30, Cloud Storage integration ,VLC wants to access cloud services using a library libcloudstorage that is not integrated anywhere in libVLC. This integration will allow it to be..., Diogo Silva ," Mentor  Adrien Maglo, jb ", Organization  VideoLAN ,/archive/2017/projects/6570146898378752,https://gist.github.com/dbtdsilva/74f5ae9663cb7bec7ac10ddf9969ab83,No,Yes,"VLC wants to access cloud services using a library libcloudstorage that is not integrated anywhere in libVLC. This integration will allow it to be used later in the respective internal modules, like Media Library.
The user is going to be able to access any media directly from most of the cloud services (as long as it is supposed by libcloudstorage) and reproduce it using VLC.",,[],[]
31, Scrapinghub (dateparser) : Integrate unicode CLDR database with dateparser ,Currently dateparser supports parsing in some languages and the data used for conversion has been contributed by the community. However the languages..., Sarthak Madaan ," Mentor  Artur Sadurski, Waqas Shabir, Paul Tremberth ", Organization  Python Software Foundation ,/archive/2017/projects/6571450286735360,https://sarthak-gsoc2017.blogspot.in/2017/08/gsoc-2017-work-summary.html,No,Yes,Currently dateparser supports parsing in some languages and the data used for conversion has been contributed by the community. However the languages supported by dateparser is merely a fraction of the languages used across the world. Also the languages are used differently on the basis of the territory they are used in and thus parsing dates in a language also varies according to the territory. The complete information for parsing dates taking in account both language and territory can be obtained by using locales. Currently dateparser lacks a mechanism of defining and working with locales. This project aims to extend support for all locales in Unicode Common Locale Data Repository(CLDR) which is a standard repository of locale specific data.,,"['https://github.com/scrapinghub/dateparser/pull/321', 'https://github.com/scrapinghub/dateparser/pull/321/commits/6f6a05853332ce5495f787eb049000b473c88574']",[]
32, Visualization components for App Inventor ,A new component of App Inventor for users to display charts on Android device. I discussed the general idea as well as some details of implementation..., Liancheng Jia , Mentor  Jos , Organization  MIT App Inventor ,/archive/2017/projects/6571566519287808,https://github.com/kirliavc/blog/blob/master/gsoc17.md,No,No,A new component of App Inventor for users to display charts on Android device. I discussed the general idea as well as some details of implementation in this proposal.,,[],[]
