ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,
17, Phimpme Image App Proposal ,I have gone through the various projects of Fossasia and impressed with the kind of project organisation is working upon.I choose to work on Phimpme..., Mohit Manuja ," Mentor  Hon Nguyen, Victoria Purynova, Harshit D (the-dagger), Mario Behling, Eden Dang, Sudheesh Singanamalla ", Organization  FOSSASIA ,/archive/2017/projects/4587911714439168,https://gist.github.com/mohitmanuja/fca01bd10c01a1e452043b21e0a65702,No,Yes,"I have gone through the various projects of Fossasia and impressed with the kind of project organisation is working upon.I choose to work on Phimpme Image Editor app, I have used the app, look into the code and I found that there are lots of scope for improvement, which includes both UI/UX, code refactoring and functionality breaks. Also, currently apps provide basic features to edit an Image(few filters and few editing options). An Image editing app has to be the pro(rich feature) to make it a good utility app. So I fixed some issues and wanted to take this responsibility to make Phimpme more beautiful and useful.",,['https://github.com/fossasia/phimpme-android/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Amohitmanuja%20'],"['https://github.com/fossasia/phimpme-android/issues/assigned/mohitmanuja', 'https://github.com/fossasia/phimpme-android/issues?q=is%3Aissue+author%3Amohitmanuja+is%3Aclosed']"
18, Update to newer version of JavaParser ,The JavaParser plays a significant role in the functioning of the StubParser project. The StubParser (sub-project of the Checker Framework) is the..., Bohdan Sharipov ," Mentor  Suzanne Millstein, Michael Ernst ", Organization  Checker Framework ,/archive/2017/projects/4591775574392832,https://gist.github.com/Bohdankm22/e84f8a08c240411ed5f8ec9d0597b1c5,No,Yes,"The JavaParser plays a significant role in the functioning of the StubParser project. The StubParser (sub-project of the Checker Framework) is the tool that is designed to parse stub files with AST (Abstract Syntax Tree) generation and visitor pattern support. Stub files are a way to describe the specification of a library. They could be Java classes or have method bodies that may be skipped for brevity. The project was created by modifying and extending the JavaParser v.1.0.7 several years ago. Hence StubParser is missing a number of Java 6, 7, and 8 features.
The goal of the ""Update to the newer version of JavaParser"" project is creating a new version of the stub parser that is based on the latest version of JavaParser tool which is 3.1.4.",,"['https://github.com/typetools/stubparser/pull/2', 'https://github.com/typetools/stubparser/pull/3', 'https://github.com/typetools/stubparser/pull/6', 'https://github.com/typetools/checker-framework/pull/1441', 'https://github.com/typetools/checker-framework/pull/1447', 'https://github.com/typetools/checker-framework/pull/1451', 'https://github.com/typetools/checker-framework-inference/pull/51', 'https://github.com/typetools/checker-framework-inference/pull/52', 'https://github.com/typetools/checker-framework/pull/1465']",['https://github.com/typetools/checker-framework/issues/1456']
19, Livelog Proxy ,TaskCluster workers are hosted on services such as EC2 and currently expose ports to the internet to allow http-clients to call API endpoints. This..., Chinmay Kousik , Mentor  jonasfj , Organization  Mozilla ,/archive/2017/projects/4596748609650688,https://ckousik.github.io/gsoc/2017/07/19/Final-Work-Product.html,No,No,TaskCluster workers are hosted on services such as EC2 and currently expose ports to the internet to allow http-clients to call API endpoints. This setup may not be feasible in a data center setup. Livelog proxy aims to mitigate this problem by allowing workers to connect to the proxy over an outgoing websocket connection and exposing API endpoints to the internet. Any incoming requests will be reverse proxied to the worker over its outgoing connection. This is implemented as a distributed system to handle high amounts of traffic.,,"['https://github.com/taskcluster/taskcluster-auth/pull/107', 'https://github.com/taskcluster/taskcluster-worker/pull/301', 'https://github.com/taskcluster/docker-worker/pull/304']",[]
20, BeagleBone AVB Stack ,"Building a AVB node the stream reservation protocol and the precision time protocol are to be built in the linux kernel. 
A demo application will be...", Indumathi Duraipandian ," Mentor  Robert Manzke, Henrik Langer ", Organization  BeagleBoard.org Foundation ,/archive/2017/projects/4596929535148032,https://github.com/induarun9086/avbtest/wiki,No,No,"Building a AVB node the stream reservation protocol and the precision time protocol are to be built in the linux kernel. 
A demo application will be included for a stereo speaker system with two individual beagle boards. The first board will decode a stereo audio file (ex: mp3 files stored in local disk) and play one channel of the audio through its speakers (ex: left channel) and then it transmits the second channel (ex: right channel) to the second device over AVB which plays back the second channel through its speakers. The objective is to achieve frame synchronization over such a system. This can be tested by recording the output from both devices and analyzing with an audio analyzer. In this case one device acts as a AVB master node and the second device acts as a AVB slave node.",,[],[]
21, Loklak: Track Emojis on Twitter and show them on a map using the loklak API ,loklak is free software hosted on loklak.org which provides message search results from twitter in json format. loklak is a complete search engine..., Kavitha E Nair ," Mentor  Mario Behling, Damini Satya, Michael Christen, Sudheesh Singanamalla ", Organization  FOSSASIA ,/archive/2017/projects/4599339817107456,https://gist.github.com/kavithaenair/ce4629f9cd93e935f92acaa3012a6485,No,Yes,"loklak is free software hosted on loklak.org which provides message search results from twitter in json format. loklak is a complete search engine back-end solution with a json api. Loklak’s API can be used to build twitter clones and client alike, one of them being loklak.net. One of the main features that’s pending in such a tool is the ease of tracking emojis and using it as a sentiment analyzer.If we are able to track the emoji and make a heatmap according to the country/area , we can easily identify the mood of the people around.This proposal focuses on building such a tool.",,"['https://github.com/fossasia/apps.loklak.org/pulls?utf8=%E2%9C%93&q=is%3Apr%20author%3Akavithaenair', 'https://github.com/loklak/loklak_server/pulls?utf8=%E2%9C%93&q=%20is%3Apr%20author%3Akavithaenair%20', 'https://github.com/fossasia/loklak_scraper_js/pulls?utf8=%E2%9C%93&q=%20is%3Apr%20author%3Akavithaenair%20']","['https://github.com/fossasia/apps.loklak.org/issues?utf8=%E2%9C%93&q=is%3Aissue%20author%3Akavithaenair%20', 'https://github.com/loklak/loklak_server/issues?utf8=%E2%9C%93&q=is%3Aissue%20author%3Akavithaenair%20', 'https://github.com/fossasia/loklak_scraper_js/issues?utf8=%E2%9C%93&q=is%3Aissue%20author%3Akavithaenair%20']"
22, netjsongraph.js: visualization of netjson data ,"NetJSON is a great work attracted some interest from around the world, but there are a lot of defects. And I’m a front-end developer and now focus on...", GeekPlux ," Mentor  Capoano Federico, Ál ", Organization  Freifunk ,/archive/2017/projects/4599822061404160,https://blog.freifunk.net/2017/08/26/netjsongraph-js-google-summer-code-gsoc-2017-summary/,Yes,Yes,"NetJSON is a great work attracted some interest from around the world, but there are a lot of defects. And I’m a front-end developer and now focus on Data Visualization, so I want to contribute to NetJSON. In my proposal, I come up with my idea and list some tasks and schedules.",,[],"['https://github.com/netjson/netjsongraph.js/issues/1', 'https://github.com/netjson/netjsongraph.js/issues/45', 'https://github.com/netjson/netjsongraph.js/issues/11', 'https://github.com/netjson/netjsongraph.js/issues/29', 'https://github.com/netjson/netjsongraph.js/issues/39', 'https://github.com/netjson/netjsongraph.js/issues/42', 'https://github.com/netjson/netjsongraph.js/issues/47', 'https://github.com/netjson/netjsongraph.js/issues/41', 'https://github.com/netjson/netjsongraph.js/issues/44', 'https://github.com/netjson/netjsongraph.js/issues/46', 'https://github.com/netjson/netjsongraph.js/issues/41', 'https://github.com/netjson/netjsongraph.js/issues/40']"
23, Off-main thread HTML parsing ,"The goal of this project is to fully implement off main thread, speculative HTML parsing. Performing HTML parsing on a separate thread gives rise to...", cynicaldevil , Mentor  Anthony Ramine , Organization  Mozilla ,/archive/2017/projects/4601125449760768,https://cynicaldevil.github.io/blog/2017/08/24/async-html-parsing-in-servo.html,No,Yes,"The goal of this project is to fully implement off main thread, speculative HTML parsing. Performing HTML parsing on a separate thread gives rise to the following performance gains:

Web pages become more responsive, because the main thread becomes available to perform other functions, such as parsing CSS or handling input events.
The parser thread can perform speculative parsing on the rest of the document while the main thread evaluates scripts. This ensures that the parser is not fully blocked while evaluating Javascript.",,[],[]
24, Adding Collaboration Features to Thimble ,"The audience of Thimble largely consists of teachers, educators and students. One of the most requested feature in thimble is collaboration. 
Right...", Harkirat Singh , Mentor  Gideon Thomas , Organization  Mozilla ,/archive/2017/projects/4603459227615232,https://medium.com/@harkiratsingh_17231/collaboration-in-thimble-formerly-thimble-and-remote-mentorship-7d8645763850,No,No,"The audience of Thimble largely consists of teachers, educators and students. One of the most requested feature in thimble is collaboration. 
Right now only a single user can work on a project. 
The aim of the project is to allow multiple users to edit the same code at the same time.
The project would also include adding other features like chat, comments etc. that promote Collaboration.",,[],[]
25, Proposal to the Honeynet Project. ,"Hello! Eventually it happened! I am happy to present you my final version of proposal. 
I have worked on it for last 2 weeks. I did all I could to...", kajoj ," Mentor  Daniel Haslinger, Johnny Vestergaard ", Organization  The Honeynet Project ,/archive/2017/projects/4604799257411584,https://honeynet.org/node/1360,Yes,No,"Hello! Eventually it happened! I am happy to present you my final version of proposal. 
I have worked on it for last 2 weeks. I did all I could to make it interesting, informative and just nice. So, I hope you will enjoy :)
The project I am proposing is just fun. There is everything I like: a lot of qualitative Python code, interesting asynchrony, interaction with network protocols.
   I have to implement Imap capability, convert the project to Python 3 and implement some auth mechanisms for other protocols. By the end of each month I'll finish one task. 1st month - imap capability, 2nd - porting on Python 3, 3rd - auth mechanisms implementation.
I hope my summer work will help Heralding to make a step forward.
Imap capability implementation will cause implementing other network capabilities, increasing the number of supported auth mechanisms will cause implementing more auth mechanisms and porting the project to Python 3 will attract new contributors for Heralding.
Prosperity to Heralding! Let's rock! :)",,[],[]
27, Exploration World- Improved gameplay ,"Add WildAnimals, Puzzles, Exploration and other content to create a new gameplay module.
The new gameplay module would pack together the best of...", Nihal Singh ," Mentor  Xavier Tariq, iojw, Scott Moses Sunarto, Skylar Sommers, Florian Köberle ", Organization  MovingBlocks ,/archive/2017/projects/4610784562774016,http://nihal111.github.io/2017/08/15/GSoC-wrap-up.html,No,Yes,"Add WildAnimals, Puzzles, Exploration and other content to create a new gameplay module.
The new gameplay module would pack together the best of whatever is created yet, to create a new gameplay setting that would add meaning and purpose for the end user.",,"['https://github.com/pulls?utf8=%E2%9C%93&q=is%3Apr+is%3Amerged+author%3Anihal111+created%3A2017-05-04..2017-08-15+', 'https://github.com/MovingBlocks/Terasology/pull/3065', 'https://github.com/Terasology/AdventureAssets/pull/20', 'https://github.com/MovingBlocks/Terasology/pull/3061', 'https://github.com/MovingBlocks/Terasology/pull/3033', 'https://github.com/Terasology/StructureTemplates/pull/20', 'https://github.com/MovingBlocks/Terasology/pull/3030', 'https://github.com/Terasology/Hunger/pull/12', 'https://github.com/Terasology/Thirst/pull/5', 'https://github.com/Terasology/AdventureAssets/pull/19', 'https://github.com/MovingBlocks/Terasology/pull/3024', 'https://github.com/MovingBlocks/Terasology/pull/3020', 'https://github.com/Terasology/StructureTemplates/pull/18', 'https://github.com/Terasology/Scenario/pull/33', 'https://github.com/Terasology/Projectile/pull/4', 'https://github.com/Terasology/AdventureAssets/pull/18', 'https://github.com/Terasology/Books/pull/15', 'https://github.com/Terasology/AdventureAssets/pull/17', 'https://github.com/Terasology/AdventureAssets/pull/16', 'https://github.com/Terasology/AdventureAssets/pull/15', 'https://github.com/Terasology/AdventureAssets/pull/14', 'https://github.com/Terasology/AdventureAssets/pull/13', 'https://github.com/MovingBlocks/Terasology/pull/2994', 'https://github.com/MovingBlocks/Terasology/pull/2993', 'https://github.com/MovingBlocks/Terasology/pull/2988', 'https://github.com/MovingBlocks/Terasology/pull/2987', 'https://github.com/Terasology/AdventureAssets/pull/12', 'https://github.com/MovingBlocks/Terasology/pull/2983', 'https://github.com/Terasology/AdventureAssets/pull/11', 'https://github.com/Terasology/AdventureAssets/pull/10', 'https://github.com/Terasology/AdventureAssets/pull/9', 'https://github.com/Terasology/Projectile/pull/3', 'https://github.com/Terasology/AdventureAssets/pull/8', 'https://github.com/Terasology/Projectile/pull/2', 'https://github.com/Terasology/Projectile/pull/1', 'https://github.com/Terasology/DamagingBlocks/pull/6', 'https://github.com/Terasology/AdventureAssets/pull/6', 'https://github.com/MovingBlocks/Terasology/pull/2982', 'https://github.com/Terasology/DamagingBlocks/pull/5', 'https://github.com/Terasology/AdventureAssets/pull/5', 'https://github.com/Terasology/AdventureAssets/pull/4', 'https://github.com/Terasology/AdventureAssets/pull/3', 'https://github.com/Terasology/StructureTemplates/pull/16', 'https://github.com/MovingBlocks/Terasology/pull/2973', 'https://github.com/Terasology/AdventureAssets/pull/2', 'https://github.com/Terasology/StructureTemplates/pull/15', 'https://github.com/Terasology/AdventureAssets/pull/1', 'https://github.com/Terasology/AdvancedBehaviors/pull/7', 'https://github.com/Terasology/Pathfinding/pull/31', 'https://github.com/Terasology/WildAnimals/pull/16', 'https://github.com/Terasology/GooeysQuests/pull/14', 'https://github.com/Terasology/Journal/pull/4', 'https://github.com/Terasology/WoodCrafting/pull/3', 'https://github.com/Terasology/NeoTTA/pull/1', 'https://github.com/MovingBlocks/Terasology/pull/2962', 'https://github.com/Terasology/PhysicalStats/pull/3', 'https://github.com/MovingBlocks/Terasology/pull/2958', 'https://github.com/Terasology/Journal/pull/3', 'https://github.com/Terasology/Pathfinding/pull/30', 'https://github.com/Terasology/AdvancedBehaviors/pull/6', 'https://github.com/Terasology/Pathfinding/pull/29', 'https://github.com/Terasology/AdvancedBehaviors/pull/5', 'https://github.com/Terasology/AdvancedBehaviors/pull/3', 'https://github.com/Terasology/WildAnimals/pull/15', 'https://github.com/Terasology/AdvancedBehaviors/pull/2', 'https://github.com/Terasology/WildAnimals/pull/14', 'https://github.com/Terasology/WildAnimals/pull/13', 'https://github.com/Terasology/AdvancedBehaviors/pull/1', 'https://github.com/Terasology/WildAnimals/pull/12', 'https://github.com/Terasology/FunnyBlocks/pull/11', 'https://github.com/Terasology/WildAnimals/pull/10', 'https://github.com/Terasology/WorldlyTooltip/pull/7', 'https://github.com/MovingBlocks/Terasology/pull/2932', 'https://github.com/Terasology/WorldlyTooltip/pull/6', 'https://github.com/MovingBlocks/Terasology/pull/2930', 'https://github.com/MovingBlocks/Terasology/pull/2929', 'https://github.com/Terasology/WildAnimals/pull/9']",[]
